Depth,Age, Pinus                                         ,Abies,Picea,Juniperus-Type, Pseudotsuga                          ,Tsuga, Ephedra nevadensis#                    ,Ephedra torreyana    , Populus#                                      , Acer                                       , Quercus                               , Juglans, Aesculus,Lithocarpus /  Castanopsis   ,Liquidambar, Garrya / Fremontia        , Rhizophora                , Platanus                         ,RHAMNACEAE                                      , ROSACEAE                                        ,Dodonea           ,Simmondsia     , Bursera                            , Ceanothus                         , Lonicera                                   , Celtis                  ,Eucalyptus                                , Salix                                    , Myrica                                  , Alnus                                      , Artemisia                            , Prosopsis /  Olneya               ,Ambrosia                                 ,Liguliflorae                                    ,High-Spine-COMPOSITAE                      ,Low-Spine-COMPOSITAE                      ,MALVACEAE ,CRUCIFERAE,Arceuthobium,CARYOPHYLLACEAE,RUBIACEAE,EUPHORBIACEAE,LEGUMINOSAE,Dalea,LABIATAE,Salvia,Eriogonum,Polygonum persicaria, Rumex,NYCTAGINACEAE                                   ,Plantago,POLEMONIACEAE                                   ,Gilia, Navarretia                       ,UMBELLIFERAE                                    ,ONAGRACEAE      ,Rhus, ERA - type                                      , GRAMINEAE                                       , Cheno/Am - type                                 , Sarcobatus                            ,Typha / Sparganium            ,CYPERACEAE                                      , LILIACEAE / AGAVACEAE                       , Alternanthera, Potamogeton                         , Isoetes                                ,Dryopteris                                 ,Pteridium                         ,Athyrium                     ,Selaginella                         , Botrychium                       ,Monolete                                        ,Trilete                         ,Pediastrum                       ,Indeterminate                                   , Unknown                                         , Redeposited     , Total           ,Control                                         ,APFAC           ,Other1,Other2,Other3,Other4,Other5,Other6,NoID
0.1,1241.49855,8.817635271,0,0,2.004008016,0,0,0,0.400801603,0,0,6.813627255,0,0,0,0,0,0,0.200400802,0.200400802,0,0,0.400801603,0,0,0,1.002004008,0,0,0,0.601202405,1.803607214,0,27.65531062,0,4.008016032,0,0.200400802,0,0,0,0,0,0,0.200400802,0,0,0.200400802,0,0,0,1.20240481,0,0,0,0,0,0,1.803607214,11.82364729,21.44288577,0,0,0.200400802,0,0,0,0,0,0.200400802,0,0,0,0,0.200400802,0,2.404809619,6.21242485,0,100,130.260521,13.0260521,0,13.82765531,0,0,0,0,0
0.3,1408.90095,12.37623762,0,0,0.742574257,0,0,0,0.495049505,0,0,11.13861386,0,0,0,0,0,0,0.247524752,0,0,0,0.742574257,1.732673267,0,0,1.237623762,0,0.742574257,0,0.99009901,1.237623762,0,22.77227723,0,4.95049505,0,0.495049505,0,0,0,0,0,0,0,0,0,0,0,0,0,1.237623762,0,0,0,0,0,0,0.99009901,8.663366337,20.2970297,0,0,0,0.247524752,0,0.247524752,0,0,0,0,0,0,0,0.495049505,0,3.217821782,4.702970297,0,100,87.12871287,0,0,0,0,0,0,0,0
0.6,1662.5178,5.970149254,0,0,2.985074627,0,0,2.985074627,0,0.497512438,0.497512438,3.482587065,0,0,0,0,0,0,0,0.497512438,0,0,0,0,0,0,0.497512438,0,0.497512438,0,0.497512438,1.990049751,0,17.91044776,0,3.980099502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.990049751,0,0,0,0,0,0,0,12.93532338,27.86069652,0,0,0,0,0,0,0,0,0,0,1.492537313,0,0,0.497512438,0,7.462686567,8.955223881,0,100,124.3781095,6.965174129,0,9.452736318,0,0,0,0,0
1,2005.365,5,0,0,0.434782609,0,0,0.217391304,0,0,1.086956522,9.130434783,0,0,0,0,0,0,0,0,0,0,0.434782609,0.869565217,0,0.217391304,1.086956522,0,0.217391304,0,0,1.304347826,0,15.86956522,0,3.260869565,0,0.652173913,0,0,0,0,0,0,0,0,0,0.217391304,0,0,0,0.434782609,0,0,0,0,0,0,1.304347826,8.913043478,23.47826087,0,0,0.217391304,0,0,0,0,0,0,0,0.652173913,0,0,0,0,3.913043478,4.565217391,0,100,117.6086957,0,0,0,0,0,0,0,0
1.4,2353.5738,9.067357513,0,0,1.03626943,0,0,0,0.259067358,0,0.259067358,8.031088083,0,0,0,0,0,0,0.518134715,0,0,0,0,0,0,0,0,0,0.518134715,0,0,1.554404145,0,19.68911917,0,0,5.440414508,0,0,0,0,0,0,0,0,0,0,0.259067358,0,0,0,1.813471503,0,0,0,0,0,0,0,9.32642487,24.61139896,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259067358,0,4.663212435,12.69430052,0,100,103.626943,6.994818653,0,7.772020725,0,0,0,0,0
1.6,2529.6888,10.29411765,0,0,1.470588235,0,0.490196078,0,0,0,0,12.74509804,0,0,0,0,0,0,0,0.490196078,0,0,0,0.980392157,0,0,1.470588235,0,0,0,0,0.980392157,0,23.52941176,0,2.941176471,0,0.490196078,0,0,0,0,0,0,0,0,0,0,0.490196078,0,0,0,0,0,0,0,0,0,2.450980392,9.31372549,21.56862745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980392157,0,3.921568627,5.392156863,0,100,147.5490196,0,0,0,0,0,0,0,0
1.9,2796.37455,8.525754885,0,0,1.776198934,0,0,0,0,0,0,3.907637655,0,0,0,0,0,0.177619893,0,0.177619893,0,0,0,0,0,0,0.177619893,0,0,0,0.355239787,0.710479574,0,18.11722913,0,4.618117229,0,0,0,0,0,0,0,0,0.710479574,0,0,0,0,0,0,0.177619893,0,0,0,0,0,0,0,11.90053286,32.3268206,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177619893,0,3.907637655,12.25577265,0,100,142.0959147,9.591474245,0,9.591474245,0,0,0,0,0
2.8,3614.5272,9.287925697,0,0,2.786377709,0,0,0,0,0,0.309597523,10.21671827,0,0,0,0,0,0,0.619195046,0,0,0,0,0,0,0,0.309597523,0,0.619195046,0,0,0.619195046,0,9.59752322,0,2.476780186,0,0.619195046,0,0,0,0,0,0,0,0,0,0,0.309597523,0,0,0,0,0,0,0,0,0,0,8.66873065,37.15170279,0,0,0,0,0,0,0,0,0,0,0,0,0,0.619195046,0,3.405572755,11.14551084,0,100,123.8390093,7.739938081,0,10.83591331,0,0,0,0,0
3.7,4459.82295,10.79136691,0,0,0.71942446,0,0,0,0,0,0,9.352517986,0,0,0,0,0,0,0,1.438848921,0,0,0,0,0,0,0.71942446,0,0.71942446,0,0,0.71942446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.158273381,0,0,0,0,0,0,0,20.86330935,32.37410072,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71942446,0,9.352517986,10.07194245,0,100,287.7697842,0,0,0,0,0,0,0,0
5.1,5828.67855,33.33333333,0,0,0,0,0,0,0,0,0,7.462686567,0,0,0,0,0,0,0,0.497512438,0,0,0,0,0,0,0,0,0.497512438,0,0.497512438,0.995024876,0,5.472636816,0,3.482587065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.93532338,23.38308458,0,0,0,0,0,0,0,0,0,0,0.497512438,0,0,0,0,4.975124378,5.970149254,0,100,199.0049751,14.4278607,0,16.91542289,0,0,0,0,0
5.5,6231.84375,10.38961039,0,0,1.948051948,0,0,0,0,0,0,9.090909091,0,0,0,0,0,0.324675325,0,0.649350649,0,0,0.974025974,2.272727273,0,0,1.623376623,0,0.974025974,0,1.298701299,0.649350649,0,15.58441558,0,3.246753247,0,0,0,0,0,0,0,0,0,0,0,0.324675325,0,0,0,0.974025974,0,0,0,0,0,0,0.974025974,13.63636364,25.32467532,0.324675325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.948051948,8.116883117,0,100,131.4935065,0,0,0,0,0,0,0,0
5.9,6640.37055,28.27586207,0,0.344827586,2.068965517,0,0,0,0,0,0,5.172413793,0,0,0,0,0,0,0.344827586,0,0,0,0,0,0,0,0,0,0.344827586,0,0,1.379310345,0,8.620689655,0,2.068965517,0,0,0,0,0,0,0,0,0,0,0,0.344827586,0.344827586,0,0,0,0,0,0,0,0,0,0.344827586,12.06896552,25.17241379,0,0.344827586,0.344827586,0.344827586,0,0,0,0,0,0,0,0,0,0.344827586,0,3.793103448,7.24137931,0,100,224.137931,11.37931034,0,15.17241379,0,0,0,0,0
6.2,6950.2842,8.539944904,0,0,1.928374656,0,0,0,0,0,0.275482094,10.74380165,0,0,0,0,0.275482094,0.275482094,0.550964187,0,0,0,0.275482094,0.826446281,0,0,0.826446281,0,0.550964187,0,0.275482094,1.377410468,0,14.87603306,0,3.856749311,0,0,0,0,0,0,0,0,0.550964187,0,0,0,0,0,0,0,0,0.275482094,0,0,0,0,1.928374656,14.60055096,26.1707989,0,0,0.275482094,0,0.275482094,0,0,0,0,0,0,0,0,0.550964187,0,4.132231405,5.509641873,0,100,110.1928375,0,0,0,0,0,0,0,0
6.6,7368.1938,27.94759825,0,0,0.873362445,0,0,0,0,0,0,8.733624454,0,0,0,0,0,0,0,0.436681223,0,0,0,0,0,0,1.746724891,0,0,0,0.436681223,1.310043668,0,7.860262009,0,2.183406114,0,0.873362445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.35371179,17.03056769,0,0,0,0,0,0,0,0,0,0,0,0,0,1.310043668,0,9.170305677,9.170305677,0,100,131.0043668,6.986899563,0,7.860262009,0,0,0,0,0
7,7791.465,10.83743842,0,0,0.985221675,0,0,0,0.492610837,0,0,8.374384236,0,0,0,0,0,0,0,0,0,0,0,0.492610837,0,0,0.492610837,0,0.985221675,0,0,0.985221675,0,18.22660099,0,0.985221675,0,0.492610837,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492610837,0,0,0,0,0,0,2.463054187,17.24137931,26.10837438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.389162562,5.911330049,0,100,98.52216749,9.359605911,21.67487685,6.896551724,0,0,0,0,0
7.3,8112.43695,3.202846975,0,0,2.846975089,0,0,0,0.711743772,0,0,8.185053381,0,0,0,0,0,0.355871886,0,0,0,0,0,1.067615658,0,0,1.067615658,0,0.355871886,0,1.067615658,1.067615658,0,18.86120996,0,4.270462633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.117437722,14.94661922,19.57295374,0,0,0,0,0.355871886,0,0,0,0,0,0,0,0,0,0,5.338078292,9.608540925,0,100,71.17437722,0,0,0,0,0,0,0,0
7.6,8436.4248,18.51851852,0,0,1.851851852,0,0,0,0.264550265,0,0,5.555555556,0,0,0,0,0,0.264550265,0,0,0,0,0,0,0,0,0.529100529,0,1.058201058,0,0.529100529,1.587301587,0,16.66666667,0,4.232804233,0,0.264550265,0,0,0,0,0,0.264550265,0.264550265,0,0,0,0,0,0,0.264550265,0,0.264550265,0.264550265,0,0,0,2.116402116,11.37566138,22.48677249,0,0.264550265,0.793650794,0,0,0,0,0,0,0,0,0,0,0.264550265,0,4.497354497,5.555555556,0,100,105.8201058,6.878306878,27.51322751,7.936507937,0,0,0,0,0
8,8873.1,6.875,0,0,2.5,0,0,0,0.9375,0,0,7.1875,0,0,0,0,0,0,0,0,0,0,1.5625,0,0,0,0.9375,0,0.625,0,0.3125,0.3125,0,17.5,0,4.0625,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0.9375,0,0,0,0,0.3125,0,2.5,14.375,22.1875,0,0.3125,0.625,0.3125,0,0,0,0,0,0,0,0,0,0,0,4.0625,10.9375,0,100,98.125,0,0,0,0,0,0,0,0
8.7,9650.18295,16.83168317,0,0,0.660066007,0,0,0,0,0,0,9.240924092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99009901,0,0,0,0,0.330033003,0,13.53135314,0,5.940594059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.20132013,22.44224422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.910891089,7.920792079,0,100,132.0132013,7.590759076,0,9.570957096,0,0,0,0,0
9.8,10904.4882,10.0286533,0,0,2.005730659,0,0,0,0,0,0,8.595988539,0,0,0,0,0,0,0,0.286532951,0,0,0,0,0,0,0.573065903,0,0,0,1.146131805,2.005730659,0,17.19197708,0,4.297994269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.05157593,17.76504298,0,0,0.573065903,0,0,0,0,0,0,0,0,0,0,0,0,5.444126075,12.03438395,0,100,114.6131805,7.449856734,0,7.163323782,0,0,0,0,0
10.3,11488.03095,27.73333333,0.266666667,0.266666667,0.533333333,0,0,0,0.533333333,0,0,6.666666667,0,0,0,0,0,0,0,0,0,0,1.333333333,0.266666667,0,0,0.533333333,0,0.266666667,0,1.333333333,2.4,0,17.86666667,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533333333,0,0,0,0,0,0.533333333,1.066666667,13.86666667,8.266666667,0,0,0.266666667,0,0,0,0,0,0,0,0.266666667,0,0,0.533333333,0,5.333333333,4.533333333,0,100,80,5.6,20.26666667,4.8,0,0,0,0,0
10.7,11960.89695,22.6993865,0,0,1.840490798,0,0,0,0,0,0.613496933,10.12269939,0,0,0,0,0,0,0.306748466,0,0,0,0,0,0,0,0,0,0,0,0.920245399,3.067484663,0,22.08588957,0,4.90797546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.72392638,12.57668712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.680981595,2.45398773,0,100,61.96319018,0,0,0,0,0,0,0,0
11.3,12680.24895,16.18257261,0,0.829875519,4.149377593,0,0,0,0,0,0.20746888,6.639004149,0,0,0,0,0,0,0.829875519,0.20746888,0,0,0,0,0,0,1.244813278,0,0.20746888,0,0.622406639,6.22406639,0,22.82157676,0,6.01659751,1.452282158,0,0,0,0,0,0,0,0,0,0,0.414937759,0,0.622406639,0,0.414937759,0.20746888,0,0,0,0,0.414937759,0,7.883817427,12.2406639,0.20746888,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20746888,3.941908714,5.809128631,0,100,41.49377593,0,0,1.867219917,0,0,0,0,0
11.6,13044.4488,18.50899743,0,0,3.341902314,0,0,0,0,0,0.514138817,9.254498715,0,0,0,0,0,0,0,0,0,0,0.514138817,0,0,0,1.542416452,0,0.257069409,0,0.257069409,2.313624679,0,26.99228792,0,3.341902314,0,0,0,0,0,0,0,0,0,0.257069409,0,0,0,0,0,0,0,0,0,0,0,0,0,8.740359897,15.16709512,0,0,0,0.257069409,0,0,0,0,0,0,0,0,0,0,0,4.627249357,4.11311054,0,100,70.6940874,3.341902314,16.70951157,3.598971722,0,0,0,0,0
12,13534.74,27.34693878,0,0,2.448979592,0,0,0,0,0,0,4.081632653,0,0,0,0,0,0,0,0,0,0,0,0.816326531,0,0,1.632653061,0,0,0,0.408163265,0.408163265,0,29.3877551,0,3.673469388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408163265,0,0,0,0,0,0,0.816326531,8.571428571,7.346938776,0,0,0.408163265,0,0,0,0,0,0,0,1.224489796,0,0,0.816326531,0,6.12244898,4.081632653,0,100,81.63265306,5.714285714,17.55102041,6.12244898,0,0,0,0,0
12.5,14155.14375,12.55144033,0,0,8.847736626,0,0,0,0.411522634,0,1.440329218,8.024691358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.497942387,0,0.205761317,0,0,0,0,34.97942387,0,1.440329218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.732510288,6.58436214,0,0,0.823045267,0.205761317,0,0,0,0,0,0,0.205761317,0,0,2.057613169,0,6.995884774,6.995884774,0,100,82.30452675,6.58436214,0,5.555555556,0,0,0,0,0
12.8,14531.4072,7.621247113,0,0,9.930715935,0,0,0,0.461893764,0.230946882,0.923787529,9.930715935,0.230946882,0,0,0.230946882,0,0,0,0.692840647,0,0,0,0,0,0,4.387990762,0,0,0,0,2.540415704,0,33.02540416,0,4.387990762,0,0,0,0,0,0,0,0,0,0,0,0.461893764,0,0,0,0.461893764,0,0,0,0,0,0,1.154734411,4.849884527,8.775981524,0,0.230946882,0.461893764,0.692840647,0.230946882,0,0,0,0,0,0,0,0.230946882,0,0,3.926096998,3.926096998,0,100,92.37875289,7.390300231,19.63048499,6.23556582,0,0,0,0,0
12.9,14657.49855,16.57303371,0,0,17.13483146,0,0,0,0,0,0,7.303370787,0,0,0,0,0,0,0.280898876,0,0,0,0,0,0,0,1.966292135,0,0,0,0.561797753,0.842696629,0,30.8988764,0,1.123595506,0,0.280898876,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842696629,0,0,0,0,0,0,0,3.370786517,6.179775281,0,0,0.561797753,0.280898876,0,0,0,0,0,0,0,0.280898876,0.280898876,0,0,7.02247191,4.213483146,0,100,112.3595506,7.584269663,0,6.741573034,0,0,0,0,0
13.4,15292.9818,12.71929825,0,0,21.71052632,0,0,0,0.657894737,0,0.219298246,7.01754386,0.219298246,0,0,0.438596491,0,0,0,0,0,0,0,0,0,0,2.192982456,0,0,0,0,1.315789474,0,27.19298246,0,3.50877193,0,0.219298246,0,0,0,0,0,0,0,0,0,0.219298246,0,0,0,0.438596491,0,0,0,0,0,0,0.219298246,5.701754386,5.263157895,0.219298246,0,0.877192982,0.438596491,0,0,0,0,0,0,0.438596491,0,0,0.219298246,0,3.947368421,4.605263158,0,100,65.78947368,3.947368421,14.03508772,3.50877193,0,0,0,0,0
14.5,16720.53375,9.367681499,0,0.468384075,20.14051522,0,0,0,0.702576112,0,0,6.323185012,0,0,0,0,0,0,0,0.234192037,0,0,0,0,0,0,0.234192037,0,0.234192037,0.234192037,0.234192037,8.899297424,0,25.76112412,0.234192037,3.981264637,0,0,0,0,0,0,0,0,0,0,0,0.234192037,0,0,0,0,0,0,0,0,0,0,0,1.8735363,11.2412178,0,0,0,0,0,0,0,0,0,0,0.93676815,0,0,0,0,3.278688525,5.386416862,0,100,46.83840749,0,0,3.278688525,0,0,0,0,0
14.763,17067.85459,18.25613079,0,0.817438692,26.43051771,0,0,0,1.089918256,0,0.817438692,2.179836512,0,0,0,0,0,0,0,0,0,0.272479564,0,0,0,0,0.272479564,0,0,0,0,6.811989101,0,22.61580381,0,3.814713896,0,0.272479564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72479564,7.901907357,0.272479564,0,0.272479564,0,0,0,0,0,0,0,0,0,0,0.272479564,0,4.08719346,1.089918256,0,100,27.2479564,0,0,0,0,0,0,0,0
14.871,17211.15198,17.08860759,0,0.316455696,23.57594937,0,0,0,0.316455696,0.158227848,0.316455696,4.113924051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474683544,0,0,0,0.158227848,8.860759494,0,18.35443038,0,3.639240506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474683544,0,0,0,0.158227848,0,0,1.107594937,2.53164557,13.92405063,0.316455696,0.316455696,0.158227848,0.316455696,0,0,0,0,0,0,0,0,0,0,0,1.740506329,1.424050633,0,100,31.64556962,0,0,2.056962025,0,0,0,0,0
14.9,17249.69655,18.38235294,0,0.245098039,19.85294118,0,0,0,1.225490196,0,0.245098039,4.901960784,0,0,0,0,0,0,0,0,0,0.490196078,0.245098039,0,0,0,0.490196078,0,0,0,0,5.882352941,0,23.52941176,0.245098039,4.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245098039,0,0,0,0,0,0,0,0,0,3.18627451,10.78431373,0.245098039,0.245098039,0.490196078,0.245098039,0,0,0,0,0,0,0,0,0,0,0,2.450980392,2.205882353,0,100,49.50980392,0,0,0,0,0,0,0,0
15.171,17611.25109,13.39285714,0,0.510204082,15.94387755,0,0,0,0.12755102,0,0.12755102,3.443877551,0.12755102,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12755102,0,0,0,0.12755102,4.464285714,0,13.64795918,0,1.658163265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12755102,0,0,0,0,0,0,0.255102041,3.18877551,7.142857143,0.12755102,0,0.12755102,0.12755102,0,0,0,0,0,0,0.637755102,0,0,0.12755102,0,2.933673469,1.658163265,0,100,25.51020408,0,11.98979592,1.658163265,0,0,0,0,0
15.2,17650.0872,15.67460317,0,0.595238095,20.43650794,0,0,0,1.19047619,0,0,6.150793651,0,0,0,0,0,0,0,0.396825397,0,0.793650794,0,0.198412698,0,0,0.793650794,0,0.396825397,0,0,4.563492063,0,22.61904762,0,2.579365079,0,0,0,0,0,0,0,0,0,0,0,0.198412698,0,0,0,0.396825397,0,0,0,0,0,0,0,3.373015873,9.722222222,0,0,0.198412698,0,0,0,0,0,0,0,0.595238095,0,0,0.396825397,0,2.579365079,4.761904762,0,100,39.68253968,0,0,0,0,0,0,0,0
